Date,VaR
2021-06-15,-0.0303866573603475
2021-06-16,-0.030394030419094446
2021-06-17,-0.030343285898980332
2021-06-18,-0.030281217649090243
2021-06-21,-0.029862197859143957
2021-06-22,-0.029865992063060787
2021-06-23,-0.029854868398468706
2021-06-24,-0.02987589274692372
2021-06-25,-0.029900364089468418
2021-06-28,-0.02989857008806008
2021-06-29,-0.02975492106807219
2021-06-30,-0.029721858918229954
2021-07-01,-0.02961171006641459
2021-07-02,-0.029624600009419536
2021-07-05,-0.02957088669739851
2021-07-06,-0.029513678740650636
2021-07-07,-0.029487230367638638
2021-07-08,-0.029457380460024846
2021-07-09,-0.029625063941624123
2021-07-12,-0.02954135511116059
2021-07-13,-0.029552088199102967
2021-07-14,-0.02955312895631696
2021-07-15,-0.029512030535814283
2021-07-16,-0.02957688497421308
2021-07-19,-0.02955993503862236
2021-07-20,-0.029988735967927078
2021-07-21,-0.02983809564039722
2021-07-22,-0.030015410658409583
2021-07-23,-0.030041596152244568
2021-07-26,-0.030087471605005557
2021-07-27,-0.029735833800343545
2021-07-28,-0.029718468655401113
2021-07-29,-0.029522720083517015
2021-07-30,-0.02952774328127726
2021-08-02,-0.029498132448529283
2021-08-03,-0.029478557242040203
2021-08-04,-0.029474237006801924
2021-08-05,-0.029466656135666375
2021-08-06,-0.029266984066873357
2021-08-09,-0.029244394956830233
2021-08-10,-0.029222627038347465
2021-08-11,-0.029113093282551503
2021-08-12,-0.02912077587363364
2021-08-13,-0.029088154190362203
2021-08-16,-0.02908116568980003
2021-08-17,-0.02902378892111721
2021-08-18,-0.029028793747220186
2021-08-19,-0.028906834454137574
2021-08-20,-0.029099813701027332
2021-08-23,-0.02903715815485492
2021-08-24,-0.029024334299888103
2021-08-25,-0.029014731045952546
2021-08-26,-0.028983316005657993
2021-08-27,-0.028959131041598415
2021-08-30,-0.028877285664852974
2021-08-31,-0.02875086841570196
2021-09-01,-0.028701514315747485
2021-09-02,-0.02856379498576343
2021-09-03,-0.028441930423709152
2021-09-06,-0.02836773176692205
2021-09-07,-0.0283404745178732
2021-09-08,-0.028356518113700293
2021-09-09,-0.028461531751437442
2021-09-10,-0.02844676293683426
2021-09-13,-0.028434821629104205
2021-09-14,-0.02841890682151137
2021-09-15,-0.028359009109948048
2021-09-16,-0.027344528424446693
2021-09-17,-0.027354043533489004
2021-09-20,-0.0273940284269893
2021-09-21,-0.027551404749584688
2021-09-22,-0.027590373526396178
2021-09-23,-0.027228612163650502
2021-09-24,-0.027227658700899104
2021-09-27,-0.02729840397777965
2021-09-28,-0.027300426542162484
2021-09-29,-0.02771158465547768
2021-09-30,-0.02762977447153293
2021-10-01,-0.027612936003713864
2021-10-04,-0.027620611276593248
2021-10-05,-0.027598664882219622
2021-10-06,-0.027649662754499895
2021-10-07,-0.027755135564594406
2021-10-08,-0.027778860838258007
2021-10-11,-0.02778426759957519
2021-10-12,-0.02748270618221343
2021-10-13,-0.02743407814909442
2021-10-14,-0.027469662842596724
2021-10-15,-0.02753149389658437
2021-10-18,-0.027436029087036743
2021-10-19,-0.027463949028011664
2021-10-20,-0.027456058659189177
2021-10-21,-0.02712790363255692
2021-10-22,-0.02700311067609887
2021-10-25,-0.026190173889789982
2021-10-26,-0.02617430422415977
2021-10-27,-0.026184165061072354
2021-10-28,-0.02608388143833003
2021-10-29,-0.02571777465390919
2021-11-01,-0.02553010601667496
2021-11-02,-0.025488205025506798
2021-11-03,-0.025481191843775876
2021-11-04,-0.023630077996265913
2021-11-05,-0.023534045560800732
2021-11-08,-0.023488659232283552
2021-11-09,-0.023437149808884773
2021-11-10,-0.023446807664331177
2021-11-11,-0.023170725266902083
2021-11-12,-0.023167749728977307
2021-11-15,-0.023155587738669266
2021-11-16,-0.0230685376667751
2021-11-17,-0.02305125289550402
2021-11-18,-0.023052645205804443
2021-11-19,-0.023020969808748768
2021-11-22,-0.023037507709549643
2021-11-23,-0.023024686482970094
2021-11-24,-0.023186391473746668
2021-11-25,-0.023095740000322634
2021-11-26,-0.023056942097741222
2021-11-29,-0.02426902527070436
2021-11-30,-0.02429480313819726
2021-12-01,-0.024361557397506357
2021-12-02,-0.02447922066797799
2021-12-03,-0.024570357853166632
2021-12-06,-0.024613219515749143
2021-12-07,-0.024674545752273947
2021-12-08,-0.024939224296400823
2021-12-09,-0.024933461720700024
2021-12-10,-0.02492480955200398
2021-12-13,-0.024903164319860446
2021-12-14,-0.02492984930029362
2021-12-15,-0.024960384912843237
2021-12-16,-0.02453513496270043
2021-12-17,-0.024501791687219075
2021-12-20,-0.02436711593923686
2021-12-21,-0.02449675363573432
2021-12-22,-0.024611534757930032
2021-12-23,-0.024662563632331734
2021-12-27,-0.02473289869460984
2021-12-28,-0.024748791050927574
2021-12-29,-0.024653448375598828
2021-12-30,-0.02461971763892813
2022-01-03,-0.024603833871898326
2022-01-04,-0.024533744000861703
2022-01-05,-0.024598066396098107
2022-01-06,-0.024597493631391066
2022-01-07,-0.024677382953527453
2022-01-10,-0.024588588215242346
2022-01-11,-0.02477291668508899
2022-01-12,-0.024810411382347648
2022-01-13,-0.024792878735845972
2022-01-14,-0.02479355703462921
2022-01-17,-0.024825596149054135
2022-01-18,-0.024713417453988685
2022-01-19,-0.02479461806270119
2022-01-20,-0.024699466991977004
2022-01-21,-0.024700057435577443
2022-01-24,-0.024902687676281413
2022-01-25,-0.026010381087182295
2022-01-26,-0.02590416927856477
2022-01-27,-0.026105893112829077
2022-01-28,-0.026093885839762097
2022-01-31,-0.026162365021655004
2022-02-01,-0.026210788923199498
2022-02-02,-0.026317504913459293
2022-02-03,-0.026336373154639547
2022-02-04,-0.026550072941488298
2022-02-07,-0.02674975250540229
2022-02-08,-0.026606591071591093
2022-02-09,-0.026606354518010206
2022-02-10,-0.026788817143022253
2022-02-11,-0.0267259097058611
2022-02-14,-0.026719650753896592
2022-02-15,-0.027001384840730336
2022-02-16,-0.02717705249552566
2022-02-17,-0.027155784946859614
2022-02-18,-0.027216490546000872
2022-02-21,-0.027043783332463878
2022-02-22,-0.026975746157391817
2022-02-23,-0.02697706104245604
2022-02-24,-0.02699461551993943
2022-02-25,-0.027828671651072615
2022-02-28,-0.028554765325279674
2022-03-01,-0.028322736586345678
2022-03-02,-0.028783602172979324
2022-03-03,-0.028801881072751126
2022-03-04,-0.029121796451643596
2022-03-07,-0.0300693097749945
2022-03-08,-0.030213175977164865
2022-03-09,-0.030156858172135887
2022-03-10,-0.03161483126549446
2022-03-11,-0.03170022259282694
2022-03-14,-0.0317710267286178
2022-03-15,-0.031919131822586835
2022-03-16,-0.03193621476596708
2022-03-17,-0.0326435454018297
2022-03-18,-0.032646050073188375
2022-03-21,-0.03263853889867031
2022-03-22,-0.032639973837860346
2022-03-23,-0.03264724954709358
2022-03-24,-0.032735157804893306
2022-03-25,-0.03270590432264461
2022-03-28,-0.03267239241008768
2022-03-29,-0.032677324189818224
2022-03-30,-0.03295510457192852
2022-03-31,-0.03298209996167943
2022-04-01,-0.033045667161367746
2022-04-04,-0.03305674354929756
2022-04-05,-0.03308313589421123
2022-04-06,-0.03307572587323173
2022-04-07,-0.03322450576899718
2022-04-08,-0.033224486557052
2022-04-11,-0.0330965426024497
2022-04-12,-0.03311872169437961
2022-04-13,-0.03309310809975369
2022-04-14,-0.03309343749866127
2022-04-19,-0.033108214777025746
2022-04-20,-0.03312430016375343
2022-04-21,-0.03317117734633043
2022-04-22,-0.03319510022609468
2022-04-25,-0.03340710554401925
2022-04-26,-0.033580567672626044
2022-04-27,-0.0335626636759529
2022-04-28,-0.03341811379883891
2022-04-29,-0.03344324019361629
2022-05-02,-0.033400624659221737
2022-05-03,-0.033523706486402786
2022-05-04,-0.03329031684522624
2022-05-05,-0.033362588325723676
2022-05-06,-0.03338526978650257
2022-05-09,-0.03364095196915353
2022-05-10,-0.034194981587481015
2022-05-11,-0.03412216977014075
2022-05-12,-0.034240319105907885
2022-05-13,-0.03424606972051436
2022-05-16,-0.03450543808267369
2022-05-17,-0.03450774396555601
2022-05-18,-0.034606439517535094
2022-05-19,-0.03464808959271095
2022-05-20,-0.03471016570647473
2022-05-23,-0.03470712654524705
2022-05-24,-0.03477904508791931
2022-05-25,-0.03488065642615805
2022-05-27,-0.03489935999429791
2022-05-30,-0.03518282348886993
2022-05-31,-0.035222578596969055
2022-06-01,-0.03526716275982775
2022-06-02,-0.035322799123737356
2022-06-03,-0.0353182758834105
2022-06-07,-0.03531814356978359
2022-06-08,-0.03534033318702011
2022-06-09,-0.03535847365858629
2022-06-10,-0.03545551430003374
2022-06-13,-0.03578102763127452
2022-06-14,-0.03622360661411129
2022-06-15,-0.03631226047204608
2022-06-16,-0.03646547889377853
2022-06-17,-0.03684902919054215
